nuts,SD,EPP,EAF,G,ALDE,NI,GUE,ECR,UEN,electorate,voters
EE007,814,1028,0,0,20428,2371,0,0,0,68454,0
EE008,10774,9676,0,0,29865,24436,0,0,0,262049,0
EEZZZ,81,481,0,0,200,83,0,0,0,0,0
EEEEE,6087,10113,0,0,18147,18905,0,0,0,0,0
ES111,157516,213954,0,0,0,118,0,0,0,1072948,440718
ES112,54898,84098,0,0,0,43,0,0,0,346435,159356
ES113,55971,88894,0,0,0,40,0,0,0,356821,164279
ES114,134756,184374,0,0,0,93,0,0,0,877205,378044
ES120,189783,180936,0,0,0,120,0,0,0,982129,430789
ES130,98907,125691,0,0,0,349,0,0,0,491996,247821
ES211,30674,25242,0,0,0,19131,0,0,0,249161,97826
ES212,58736,26971,0,0,0,54979,0,0,0,575608,224532
ES213,113475,64844,0,0,0,134322,0,0,0,953420,408028
ES220,63848,76629,0,0,0,3691,0,0,0,478700,202798
ES230,48898,61098,0,0,0,126,0,0,0,241171,120569
ES241,36445,33874,0,0,0,275,0,0,0,177078,81523
ES242,23647,24798,0,0,0,44,0,0,0,113813,54495
ES243,146621,137384,0,0,0,146,0,0,0,728392,334242
ES300,815699,1112670,0,0,0,1147,0,0,0,4564634,2290429
ES411,24688,47920,0,0,0,17,0,0,0,143048,79860
ES412,55344,79646,0,0,0,112,0,0,0,302537,154016
ES413,94783,97306,0,0,0,44,0,0,0,446747,210748
ES414,31514,41556,0,0,0,29,0,0,0,149238,80233
ES415,55340,85927,0,0,0,34,0,0,0,310349,155559
ES416,23614,37445,0,0,0,19,0,0,0,124627,68725
ES417,13625,19442,0,0,0,14,0,0,0,77237,36434
ES418,89665,114661,0,0,0,64,0,0,0,434099,232262
ES419,33699,47204,0,0,0,20,0,0,0,178167,87300
ES421,63579,75779,0,0,0,24,0,0,0,305929,153544
ES422,83083,99617,0,0,0,37,0,0,0,400378,198036
ES423,38612,48839,0,0,0,11,0,0,0,164481,93621
ES424,32276,45741,0,0,0,33,0,0,0,174279,89011
ES425,98988,137875,0,0,0,36,0,0,0,500153,258438
ES431,133245,121382,0,0,0,62,0,0,0,550843,274886
ES432,86286,77992,0,0,0,24,0,0,0,348927,176922
ES511,558776,275730,0,0,0,310320,0,0,0,4005311,1492286
ES512,50886,22727,0,0,0,51347,0,0,0,500294,171195
ES513,30813,18715,0,0,0,33983,0,0,0,313012,109640
ES514,68413,37704,0,0,0,46160,0,0,0,551989,195922
ES521,233464,327879,0,0,0,4012,0,0,0,1254698,621483
ES522,86277,110846,0,0,0,2956,0,0,0,420979,218486
