FR633	Haute-Vienne	1999	7713	13336	36801	10080	1244	8	9237	1428	2	478	2305	6	14	690	0	15097	7306	14258	3976	2367	260760	140293	126346	13947	120467
FR414	Vosges	1999	6635	4655	26424	9945	2141	24	6632	1446	0	779	2984	0	3	770	0	17491	9524	15807	9281	4443	280904	131458	118984	12474	149446
FR264	Yonne	1999	4779	7049	19215	9073	1640	18	7733	864	0	547	2153	0	33	676	0	13715	8322	15458	7717	3800	232548	110784	102792	7992	121764
FR434	Territoire de Belfort	1999	2596	1743	10071	3914	780	0	2158	378	0	55	781	0	0	249	0	5012	2556	4326	2586	1856	87798	41973	39061	2912	45825
FR104	Essonne	1999	18040	22552	69694	38761	5143	36	7858	2721	2	714	6439	2	78	1885	0	37305	27486	39346	16504	11372	677084	319375	305938	13437	357709
FR105	Hauts-de-Seine	1999	17597	26270	73926	46542	5148	34	5333	2995	8	588	7510	14	75	2038	0	61109	43433	60063	17700	13058	800939	396993	383441	13552	403946
FR106	Seine-Saint-Denis	1999	19310	37426	55364	28318	4216	46	3863	2319	10	660	4149	198	21	1238	1	25241	15036	29105	21818	12094	651462	272077	260433	11644	379385
FR107	Val-de Marne	1999	17205	34157	63382	38552	4916	75	4742	2416	22	613	6190	148	72	1823	1	37003	26203	36210	17222	11473	670973	315205	302425	12780	355768
FR108	Val-de Oise	1999	15418	22031	55038	29977	4473	12	6514	2385	0	634	5164	8	37	1551	0	31318	21484	34700	18861	10409	599764	271515	260014	11501	328249
FR910	Gaudeloupe	1999	657	703	7124	1337	2	5	64	401	0	1678	391	0	1	1	0	6960	695	5845	430	189	262036	30774	26483	4291	231262
FR920	Martinique	1999	775	1155	7280	1066	2	1707	0	358	0	552	451	0	0	0	0	7463	2385	1900	255	187	250613	29128	25536	3592	221485
FR930	Guyane	1999	334	206	1535	626	0	0	1	0	0	20	219	0	0	0	0	1254	500	662	265	166	43731	6321	5788	533	37410
FR940	Réunion	1999	3101	6663	40086	6940	0	20	700	3323	8	2381	2747	14	38	1258	2	22396	18174	5653	2583	1971	386696	128091	118058	10033	258605
FRX20	Mayotte	1999	233	219	1157	695	0	0	0	0	15	58	204	0	0	0	0	4236	4059	249	283	397	41773	12010	11805	205	29763
FRX50	Nouvelle Caledonie	1999	732	772	3841	1812	0	0	379	0	0	368	703	0	0	0	0	12896	2085	4240	2516	1018	116898	32643	31362	1281	84255
FRX40	Polynesie Francaise	1999	374	393	5415	2639	0	0	0	0	0	1021	1318	0	0	0	0	23536	1254	1207	1219	889	133057	41457	39265	2192	91600
FRX10	Sainte Pierre et Miquelon	1999	47	23	310	156	0	0	0	0	0	0	19	0	0	0	0	130	294	60	42	17	4510	1216	1098	118	3294
FRX30	Wallis et Futuna	1999	33	31	2811	81	0	0	0	0	0	0	62	0	0	0	0	1619	218	117	66	55	8728	5141	5093	48	3587
FRZZZ	Abroad votes	1999	1537	1432	12957	8964	0	0	1	332	0	332	608	0	0	13	0	10010	6718	5396	2024	1225	292646	52628	51549	1079	240018
FR10	Île de France	1999	45861	74452	192465	82139	14327	210	60505	8037	9	3725	16353	50	166	6718	1	119706	78757	146379	66800	39101	2218046	1015152	955761	59391	1202894
FR21	Champagne-Ardenne	1999	16628	24613	92021	27708	4589	26	33887	3231	1	586	5921	22	72	2457	0	40956	28488	46952	17526	9480	743534	382630	355164	27466	360904
